School,City,State,Conference,Division,StateCode
The College of St. Scholastica,Duluth,Minnesota,Minnesota Intercollegiate Athletic Conference,D3,MN
University of St. Thomas,Houston,Texas,Southern Collegiate Athletic Conference,D3,TX
Saint Vincent College,Latrobe,Pennsylvania,Presidents' Athletic Conference,D3,PA
Salem College,Winston-Salem,North Carolina,USA South Athletic Conference,D3,NC
Salem State University,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Salisbury University,Salisbury,Maryland,Coast to Coast Athletic Conference,D3,MD
Salve Regina University,Newport,Rhode Island,Commonwealth Coast Conference(New England Women's and Men's Athletic Conference in 2023),D3,RI
Sarah Lawrence College,Yonkers,New York,Skyline Conference,D3,NY
Schreiner University,Kerrville,Texas,Southern Collegiate Athletic Conference,D3,TX
University of Scranton,Scranton,Pennsylvania,Landmark Conference,D3,PA
University of the South,Sewanee,Tennessee,Southern Athletic Association,D3,TN
Shenandoah University,Winchester,Virginia,Old Dominion Athletic Conference,D3,VA
Simmons University,Boston,Massachusetts,Great Northeast Athletic Conference,D3,MA
Simpson College,Indianola,Iowa,American Rivers Conference,D3,IA
Skidmore College,Saratoga Springs,New York,Liberty League,D3,NY
Smith College,Northampton,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
University of Southern Maine,Portland,Maine,Little East Conference,D3,ME
Southern Virginia University,Buena Vista,Virginia,USA South Athletic Conference,D3,VA
Southwestern University,Georgetown,Texas,Southern Collegiate Athletic Conference,D3,TX
Spalding University,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference,D3,KY
Springfield College,Springfield,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Stevens Institute of Technology,Hoboken,New Jersey,MAC Freedom,D3,NJ
Stevenson University,Stevenson,Maryland,MAC Commonwealth,D3,MD
Stockton University,Pomona,New Jersey,New Jersey Athletic Conference,D3,NJ
Suffolk University,Boston,Massachusetts,Commonwealth Coast Conference,D3,MA
Sul Ross State University,Alpine,Texas,American Southwest Conference,D3,TX
Susquehanna University,Selinsgrove,Pennsylvania,Landmark Conference,D3,PA
Swarthmore College,Swarthmore,Pennsylvania,Centennial Conference,D3,PA
Sweet Briar College,Sweet Briar,Virginia,Old Dominion Athletic Conference,D3,VA
University of Texas at Dallas,Dallas,Texas,American Southwest Conference,D3,TX
Texas Lutheran University,Seguin,Texas,Southern Collegiate Athletic Conference,D3,TX
Thiel College,Greenville,Pennsylvania,Presidents' Athletic Conference,D3,PA
Thomas College,Waterville,Maine,North Atlantic Conference,D3,ME
Transylvania University,Lexington,Kentucky,Heartland Collegiate Athletic Conference,D3,KY
Trine University,Angola,Indiana,Michigan Intercollegiate Athletic Association,D3,IN
Trinity College,Hartford,Connecticut,New England Small College Athletic Conference,D3,CT
Trinity University,San Antonio,Texas,Southern Collegiate Athletic Conference,D3,TX
Trinity Washington University,Washington,District of Columbia,Independent,D3,DC
Tufts University,Medford,Massachusetts,New England Small College Athletic Conference,D3,MA
Union College,Schenectady,New York,Liberty League,D3,NY
United States Coast Guard Academy,New London,Connecticut,New England Women's and Men's Athletic Conference,D3,CT
United States Merchant Marine Academy,Kings Point,New York,Skyline Conference,D3,NY
Ursinus College,Collegeville,Pennsylvania,Centennial Conference,D3,PA
Utica University,Utica,New York,Empire 8,D3,NY
University of Valley Forge,Phoenixville,Pennsylvania,Colonial States Athletic Conference,D3,PA
Vassar College,Poughkeepsie,New York,Liberty League,D3,NY
Virginia Wesleyan University,Virginia Beach,Virginia,Old Dominion Athletic Conference,D3,VA
Wabash College,Crawfordsville,Indiana,North Coast Athletic Conference,D3,IN
Warren Wilson College,Swannanoa,North Carolina,Coast to Coast Athletic Conference,D3,NC
Wartburg College,Waverly,Iowa,American Rivers Conference,D3,IA
Washington & Jefferson College,Washington,Pennsylvania,Presidents' Athletic Conference,D3,PA
Washington and Lee University,Lexington,Virginia,Old Dominion Athletic Conference,D3,VA
Washington College,Chestertown,Maryland,Centennial Conference,D3,MD
Washington University in St. Louis,St. Louis,Missouri,University Athletic Association,D3,MO
Waynesburg University,Waynesburg,Pennsylvania,Presidents' Athletic Conference,D3,PA
Webster University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,D3,MO
Wellesley College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Wells College,Aurora,New York,United East Conference(Allegheny Mountain Collegiate Conference in 2023),D3,NY
Wentworth Institute of Technology,Boston,Massachusetts,Commonwealth Coast Conference,D3,MA
Wesleyan College,Macon,Georgia,Collegiate Conference of the South,D3,GA
Wesleyan University,Middletown,Connecticut,New England Small College Athletic Conference,D3,CT
Western Connecticut State University,Danbury,Connecticut,Little East Conference,D3,CT
Western New England University,Springfield,Massachusetts,Commonwealth Coast Conference,D3,MA
Westfield State University,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Westminster College,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference,D3,MO
Westminster College,New Wilmington,Pennsylvania,Presidents' Athletic Conference,D3,PA
Wheaton College,Wheaton,Illinois,College Conference of Illinois and Wisconsin,D3,IL
Wheaton College,Norton,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Whitman College,Walla Walla,Washington,Northwest Conference,D3,WA
Whittier College,Whittier,California,Southern California Intercollegiate Athletic Conference,D3,CA
Whitworth University,Spokane,Washington,Northwest Conference,D3,WA
Widener University,Chester,Pennsylvania,MAC Commonwealth,D3,PA
Wilkes University,Wilkes-Barre,Pennsylvania,MAC Freedom(Landmark Conference in 2023),D3,PA
Willamette University,Salem,Oregon,Northwest Conference,D3,OR
William Paterson University,Wayne,New Jersey,New Jersey Athletic Conference,D3,NJ
William Peace University,Raleigh,North Carolina,USA South Athletic Conference,D3,NC
William Smith College,Geneva,New York,Liberty League,D3,NY
Williams College,Williamstown,Massachusetts,New England Small College Athletic Conference,D3,MA
Wilmington College,Wilmington,Ohio,Ohio Athletic Conference,D3,OH
Wilson College,Chambersburg,Pennsylvania,Colonial States Athletic Conference,D3,PA
University of Wisconsin–Eau Claire,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–La Crosse,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
Wisconsin Lutheran College,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,D3,WI
University of Wisconsin–Oshkosh,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–Platteville,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–River Falls,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–Stevens Point,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–Stout,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
University of Wisconsin–Superior,Superior,Wisconsin,Upper Midwest Athletic Conference,D3,WI
University of Wisconsin–Whitewater,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference,D3,WI
Wittenberg University,Springfield,Ohio,North Coast Athletic Conference,D3,OH
College of Wooster,Wooster,Ohio,North Coast Athletic Conference,D3,OH
Worcester Polytechnic Institute,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,D3,MA
Worcester State University,Worcester,Massachusetts,Massachusetts State Collegiate Athletic Conference,D3,MA
Yeshiva University,New York,New York,Skyline Conference,D3,NY
"York College, City University of New York",Queens,New York,City University of New York Athletic Conference,D3,NY
York College of Pennsylvania,York,Pennsylvania,MAC Commonwealth,D3,PA
